1863188;1887045;2042862;1640984;1757511;1875107;1864791;1777330;1813013;1681374;2148747;1879956;1980921;1716559;2036299;2031930;1974737;1686061;1726522;1433584;1917651;1909204;1980432;1685463;1768495;1843190,64;1433584
1851536;1984525;1964671;1716259;1668619;1827476;1789169;1913747;1818612;1850778;1941694;1961488;1838469;1737135;2017264;1765599;1873151;1617784;1791744;1425514;1959703;1815843;1892821;1846722;1988385;1834348,32;1425514
1849272;1843029;2018564;1638899;1819858;1849137;1864505;1928653;1847327;1805312;1811936;1910750;1541189;1657254;2069468;1791149;1923738;1518365;1676074;1489669;2290769;1766474;1856565;1481403;1827598;1803078,28;1481403
1706457;1798839;2032355;1652877;1708364;1838446;1967564;1802992;1862714;1794645;1786437;1768535;1556762;1697806;2087198;1856576;1901960;1511497;1835444;1497328;1789504;1919306;1880679;1757451;1903586;1796612,88;1497328
1775672;1596400;2109509;1795734;1989669;2012049;1909715;1676583;1917334;1796959;1856828;1911042;1768896;1671818;2170867;1782138;2071678;1466357;1602558;1951945;1853891;1723572;1935867;1736075;1774868;1834320,96;1466357
1828725;1600960;2035408;1774007;1925061;1971629;1807213;1589471;2004673;1764346;1857412;2039693;1856218;1811161;1977210;1921006;1808746;1454548;1676929;1472450;1839588;1990467;1856147;1402132;1913622;1807152,88;1402132
1739878;1716664;1965119;1882086;1757615;1811830;1705528;1623281;2126687;1691323;1849419;1818300;1901892;1733419;2102473;1848830;1792667;1450098;1700853;1673175;1977903;1929288;1978460;1386722;1900212;1802548,88;1386722
1764839;1873096;1944204;1832390;1688208;1785976;1742614;1836214;2105706;1853872;1891235;1771843;1730730;1674685;1794938;2021361;1880574;1483278;1736955;1768528;1919271;1999924;2001500;1407885;1884260;1815763,44;1407885
1705833;1845396;1867903;1770070;1725192;1902705;1677696;1775836;1987776;1856895;2001536;1830916;1670182;1703087;1944396;1887923;1865721;1488754;1926892;1802171;1951040;1866605;1730403;1383659;1837510;1800243,88;1383659
1880737;1785205;1988366;1808312;1706665;1695715;1774380;1674507;1827924;1884359;1884502;1837370;1653771;1775520;1823541;1770551;1690524;1553756;1838765;1767567;2009032;1798266;1724017;1665402;1764348;1783324,08;1553756
1838513;1817630;1974868;1956696;1789198;1840140;1775175;1833387;1913476;2006520;2075332;1749218;1899783;1778197;2053875;1732552;1781251;1568167;1936211;1791727;1848948;1657163;1872338;1395944;1816871;1828127,2;1395944
1836608;1825970;1996446;1745252;1860663;1628897;1809679;1882698;1765046;1716910;1872724;2229;1886856;1694400;1834483;1828511;1980948;1384172;2077266;1859777;1982388;1903879;1922478;1427879;1489031;1728607,6;2229
1822027;1828624;1887852;1623204;1865355;1734429;1673557;1883428;1844206;1780035;1923556;1838749;1809825;1710841;1836495;1876299;1964005;1355556;1768050;1857215;1875350;1793463;1859399;1932726;1464416;1792346,48;1355556
1833597;1897498;1879527;1904757;1790553;1837920;1873372;1734513;1781817;1665472;1844877;1959655;1948313;1772369;1935205;1920483;1828671;1437717;1686796;1830191;1888765;1991147;1884907;2008904;1766316;1836133,68;1437717
1742610;1741953;1910268;1878818;1490669;1871900;2015658;1749959;1885215;1931017;2002298;2024353;1910205;1834992;2106244;1929716;2088001;1579100;1860470;1666640;2033916;1869866;1847230;1994366;1944368;1876393,28;1490669
1775906;1608577;1842917;1641975;1603728;1940794;1828532;1828755;1811417;1797495;1861344;1590275;1579712;1833352;2052281;1877871;1831403;1479926;1991199;1368831;1845428;1803721;1951988;1453791;1666380;1754703,92;1368831
1674421;1723571;1989573;1747730;1762589;1906511;1661672;1927626;1840116;1795346;1966962;1895086;1628942;1786117;1787263;1928588;1900950;1478946;1866392;1435215;1878706;1790990;1876832;1438841;1695000;1775359,4;1435215
1751391;1806714;1959693;1682290;1705509;1969113;2016419;1802859;1865040;1871832;1758201;1964315;1643667;1757337;2015031;1791464;1811837;1753812;1822947;1477575;1982236;1849576;1997869;1440265;2180317;1827092,36;1440265
1882663;1718082;2100032;1784473;1908591;1880567;1914973;1859043;1870750;1858614;1971621;1852634;1557997;1823613;1830241;1773166;6769;1422859;1763472;1445498;1965969;2131304;1822546;1416674;1810592;1734909,72;6769
1779862;1541635;1882185;1762611;1640774;1815483;1853860;1855523;1757791;1770560;1805612;1909759;1923427;1806973;1903463;1709931;1718359;1486179;1724026;1442054;1866517;1788711;2066700;1485972;1656996;1758198,52;1442054
